Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
65, 262144, 1, 1, 64, 1.97172, 1.50476, N/A, 0.108863, 0.0827793, 429.196, 3.675, 2, 8, 4, 32, 1, 1, 79.7442, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 262144, 1, 1, 128, 1.9906, 1.50476, N/A, 0.152632, 0.145721, 429.582, 4.00802, 2, 8, 4, 16, 1, 1, 73.1183, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 262144, 1, 1, 256, 1.99878, 1.79972, N/A, 0.238949, 0.302575, 428.888, 4.02078, 2, 4, 4, 8, 1, 1, 72.8863, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 16384, 1, 1, 32, 0.269426, 0.338671, N/A, 0.0054713, 0.00317443, 10.6771, 0.0429542, 2, 2, 2, 32, 1, 1, 79.1262, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 64, 1, 1, 8, 0.0989818, 0.0659912, N/A, 7.55784e-05, 0.000136821, 0.0847153, 0.000345924, 2, 2, 1, 2, 1, 1, 42.6444, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 64, 1, 1, 8, 0.0989818, 0.0659912, N/A, 7.55784e-05, 0.000136821, 0.0847153, 0.000345924, 2, 2, 0.03125, 2, 1, 1, 42.6444, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 64, 1, 1, 8, 0.0989818, 0.0659912, N/A, 7.55784e-05, 0.000136821, 0.0847153, 0.000345924, 2, 2, 0.03125, 2, 1, 1, 42.6444, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 64, 1, 1, 16, 0.0857007, 0.0658615, N/A, 0.000134459, 0.000186302, 0.0702088, 0.000289081, 2, 2, 0.0625, 2, 1, 1, 45.9268, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 64, 1, 1, 8, 0.0989818, 0.0659912, N/A, 7.55784e-05, 0.000136821, 0.0847153, 0.000345924, 2, 2, 0.03125, 2, 1, 1, 42.6444, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 64, 1, 1, 17, 0.0873154, 0.0683511, N/A, 0.000133366, 0.000157098, 0.0809984, 0.000328634, 2, 2, 0.0664062, 4, 1, 1, 49.3769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
