Total network energy = 2.60e+09 pJ
Total network latency = 6.42e+06 cycles
         233503864 function calls (233190351 primitive calls) in 125.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36542    0.167    0.000    0.496    0.000 Mapping.py:486(<dictcomp>)
       31    0.002    0.000    0.495    0.016 _base.py:564(__init__)
     1104    0.006    0.000    0.494    0.000 std.py:1325(refresh)
     5195    0.492    0.000    0.492    0.000 {built-in method posix.stat}
    36542    0.158    0.000    0.491    0.000 Mapping.py:345(<dictcomp>)
    36542    0.149    0.000    0.491    0.000 Mapping.py:247(<dictcomp>)
     5061    0.003    0.000    0.491    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  1283128    0.342    0.000    0.485    0.000 mapping_assist_funcs.py:76(<genexpr>)
       31    0.002    0.000    0.484    0.016 image.py:1550(imsave)
     1134    0.007    0.000    0.484    0.000 std.py:1464(display)
   182896    0.319    0.000    0.483    0.000 Accelerator.py:24(get_core)
    36542    0.127    0.000    0.480    0.000 Mapping.py:291(<dictcomp>)
       31    0.001    0.000    0.479    0.015 Image.py:2481(save)
     1324    0.475    0.000    0.475    0.000 {built-in method io.open_code}
    54999    0.289    0.000    0.474    0.000 SpatialMappingInternal.py:113(<listcomp>)
    36542    0.160    0.000    0.472    0.000 Mapping.py:278(<dictcomp>)
    36542    0.150    0.000    0.472    0.000 Mapping.py:493(<dictcomp>)
      806    0.011    0.000    0.470    0.001 backend_agg.py:186(draw_text)
      186    0.003    0.000    0.470    0.003 axis.py:2394(_update_label_position)
       31    0.002    0.000    0.466    0.015 nx_pylab.py:129(draw_networkx)
    36542    0.147    0.000    0.463    0.000 Mapping.py:352(<dictcomp>)
  1283128    0.321    0.000    0.459    0.000 mapping_assist_funcs.py:136(<genexpr>)
     1962    0.003    0.000    0.451    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1741    0.001    0.000    0.451    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
   469037    0.315    0.000    0.441    0.000 datatypes.py:13(__init__)
    18333    0.080    0.000    0.439    0.000 SpatialMappingInternal.py:128(<dictcomp>)
   109626    0.317    0.000    0.437    0.000 Mapping.py:300(<listcomp>)
